,county,county key,state,number agents,radiation,population density,mean income tax
52,Südwestpfalz,7340,7.0,33023.0,1168.8,99,5.606889235299212
53,St. Wendel,10046,10.0,28953.0,1167.2,183,5.645573778184462
54,Nordfriesland,1054,1.0,56443.0,1064.4,80,6.106280854027031
55,Pinneberg,1056,1.0,70279.0,1026.2,476,7.648497279036835
56,Gera,16052,16.0,10131.0,1132.8,612,4.194344734952873
57,Bodenseekreis,8435,8.0,37449.0,1245.8,327,8.179088964149292
58,Breisgau-Hochschwarzwald,8315,8.0,48909.0,1167.0,191,7.314905528341497
59,Calw,8235,8.0,33295.0,1171.8,200,7.035087497150961
60,Waldshut,8337,8.0,32762.0,1175.0,151,7.974890024967304
61,Coburg,9473,9.0,22258.0,1138.2,147,6.5317718751453695
62,Bremen,4011,4.0,95220.0,1043.2,1786,6.243615301528847
63,Bremerhaven,4012,4.0,16495.0,1016.8,1119,4.014405186634441
64,Limburg-Weilburg,6533,6.0,46486.0,1105.6,233,6.4571814885378895
65,Düren,5358,5.0,68095.0,1088.4,281,6.048589418196018
66,Essen,5113,5.0,60186.0,1099.4,2771,6.988053668668949
67,Birkenfeld,7134,7.0,25666.0,1136.4,104,4.927556704603001
68,Kaiserslautern,7312,7.0,16135.0,1153.2,716,5.5407533156498685
69,Neustadt an der Weinstraße,7316,7.0,11694.0,1160.8,455,7.593693967996211
70,Pirmasens,7317,7.0,8902.0,1168.8,656,4.762930077691454
71,Merzig-Wadern,10042,10.0,34656.0,1166.0,185,5.40565079227826
72,Harz,15085,15.0,52833.0,1113.6,101,4.344257534587542
73,Emmendingen,8316,8.0,29603.0,1183.2,245,6.508818457513231
74,Heidelberg,8221,8.0,13347.0,1175.6,1484,10.763703589152408
75,Karlsruhe,8215,8.0,97615.0,1187.4,410,7.449566296025273
76,Schwäbisch Hall,8127,8.0,43040.0,1179.0,133,6.973670002907097
77,Schwabach,9565,9.0,7955.0,1190.2,1004,7.724711294264218
78,Prignitz,12070,12.0,21502.0,1086.2,36,3.872137119651229
79,Gießen,6531,6.0,54281.0,1122.2,317,6.309694116526281
80,Werra-Meißner-Kreis,6636,6.0,29614.0,1085.8,98,4.446310076533316
81,Oldenburg,3458,3.0,39372.0,1041.8,123,7.073031415748674
82,Stade,3359,3.0,55137.0,1035.8,161,6.932087214741894
83,Städteregion Aachen,5334,5.0,102429.0,1091.0,788,6.45971663053577
84,Nordsachsen,14730,14.0,46107.0,1141.0,97,4.38267769711295
85,Sächsische Schweiz-Osterzgebirge,14628,14.0,48801.0,1126.0,148,4.433882502036752
86,Lübeck,1003,1.0,35001.0,1088.8,1011,5.628291755761462
87,Ravensburg,8436,8.0,54958.0,1256.4,175,7.124882989870765
88,Cham,9372,9.0,36361.0,1201.2,84,5.510320250266068
89,Ebersberg,9175,9.0,27932.0,1211.2,261,10.636170974045633
90,Freyung-Grafenau,9272,9.0,22802.0,1213.0,80,4.5713366451314
91,Hof,9475,9.0,28791.0,1129.8,106,5.02762018512989
92,Landshut,9274,9.0,42004.0,1232.4,119,7.132522780922406
93,Passau,9275,9.0,52055.0,1231.4,126,5.340595366063922
94,Schwandorf,9376,9.0,37944.0,1184.4,101,5.567020042620918
95,Uckermark,12073,12.0,26386.0,1084.6,39,4.096641998885971
96,Oldenburg,3403,3.0,35507.0,1033.2,1640,6.858293436475555
97,Salzgitter,3102,3.0,17290.0,1100.2,465,4.8550282803160965
98,Ennepe-Ruhr-Kreis,5954,5.0,50059.0,1076.2,791,7.204851417581736
99,Viersen,5166,5.0,75037.0,1115.2,531,7.032106015799631
100,Vogtlandkreis,14523,14.0,50172.0,1113.6,160,3.951109139307897
101,Ilm-Kreis,16070,16.0,23933.0,1093.0,132,4.4559166599629965
102,Pforzheim,8231,8.0,13164.0,1171.0,1285,6.231268217890179
103,Aschaffenburg,9661,9.0,9832.0,1150.0,1137,7.802910872135577
104,Coburg,9463,9.0,7672.0,1138.2,851,7.8294252016223025
105,Erlangen,9562,9.0,14191.0,1192.2,1462,9.383329424771349
106,Hof,9464,9.0,7757.0,1131.8,790,4.975567109924999
107,Miltenberg,9676,9.0,31928.0,1145.0,180,6.2342100388960935
108,Schweinfurt,9662,9.0,6512.0,1167.8,1497,5.652596450051342
109,Wunsiedel im Fichtelgebirge,9479,9.0,19908.0,1140.4,120,5.105644872183769
110,Region Hannover,3241,3.0,186400.0,1078.2,504,6.924606565058017
111,Schaumburg,3257,3.0,40425.0,1064.6,234,5.707919036423101
112,Bielefeld,5711,5.0,47190.0,1058.6,1291,6.792883223206277
113,Leverkusen,5316,5.0,21570.0,1091.6,2076,6.613285669579453
114,Rhein-Kreis Neuss,5162,5.0,90199.0,1104.4,784,8.744824610566956
115,Rhein-Sieg-Kreis,5382,5.0,148457.0,1089.8,521,7.628462020375959
116,Ludwigshafen am Rhein,7314,7.0,20365.0,1170.6,2225,5.417356026364201
117,Mansfeld-Südharz,15087,15.0,39842.0,1115.0,93,3.76649543577106
118,Herzogtum Lauenburg,1053,1.0,50347.0,1074.2,157,7.177650827549387
119,Erding,9177,9.0,28757.0,1224.2,159,8.339400186382763
120,Main-Kinzig-Kreis,6435,6.0,86938.0,1127.4,301,6.887950597255617
121,Waldeck-Frankenberg,6635,6.0,43527.0,1039.8,85,5.096010986136542
122,Rostock,13072,13.0,54040.0,1093.2,63,5.173396446163545
123,Wolfsburg,3103,3.0,20460.0,1101.6,608,8.672023448554679
124,Zwickau,14524,14.0,59748.0,1139.0,332,4.5387833204137085
125,Haßberge,9674,9.0,23298.0,1157.0,88,5.069372812672683
126,Rosenheim,9187,9.0,56279.0,1239.8,182,8.147441242780815
127,Groß-Gerau,6433,6.0,46339.0,1170.8,609,6.3280919661733614
128,Main-Taunus-Kreis,6436,6.0,43385.0,1149.8,1072,11.429855878385048
129,Schwerin,13004,13.0,8682.0,1105.8,733,5.032882668659557
130,Braunschweig,3101,3.0,31292.0,1098.4,1294,7.5042887076593745
131,Düsseldorf,5111,5.0,46798.0,1103.8,2860,10.651370537366034
132,Köln,5315,5.0,97954.0,1098.4,2686,8.224031108136156
133,Speyer,7318,7.0,7642.0,1181.6,1184,8.156256204582457
134,Westerwaldkreis,7143,7.0,60830.0,1088.4,204,6.323278226933469
135,Biberach,8426,8.0,48442.0,1245.4,143,7.398360787950884
136,Ludwigsburg,8118,8.0,88197.0,1202.2,794,8.742563413237747
137,Zollernalbkreis,8417,8.0,53348.0,1185.4,206,7.109997429966589
138,Kelheim,9273,9.0,30506.0,1225.6,116,6.7852054163444615
139,Lahn-Dill-Kreis,6532,6.0,65856.0,1090.8,238,6.319290246652456
